
> frontend@0.1.0 dev
> next dev -p 3000

⚠ Warning: Next.js inferred your workspace root, but it may not be correct.
 We detected multiple lockfiles and selected the directory of /Users/davidcvetkovski/Documents/Uni/TH/ExamTakerEnvironment/package-lock.json as the root directory.
 To silence this warning, set `turbopack.root` in your Next.js config, or consider removing one of the lockfiles if it's not needed.
   See https://nextjs.org/docs/app/api-reference/config/next-config-js/turbopack#root-directory for more information.
 Detected additional lockfiles: 
   * /Users/davidcvetkovski/Documents/Uni/TH/ExamTakerEnvironment/frontend/package-lock.json

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.68.118:3000

✓ Starting...
✓ Ready in 472ms
 GET /import?mode=questions&from=library 200 in 22ms (compile: 3ms, render: 20ms)
 GET /items 200 in 19ms (compile: 3ms, render: 16ms)
 GET /blueprint 200 in 19ms (compile: 3ms, render: 16ms)
 GET /items 200 in 21ms (compile: 5ms, render: 16ms)
 GET /blueprint 200 in 21ms (compile: 3ms, render: 18ms)
 GET /items 200 in 20ms (compile: 3ms, render: 17ms)
 GET /blueprint 200 in 19ms (compile: 3ms, render: 16ms)
 GET /items 200 in 17ms (compile: 3ms, render: 14ms)
 GET /blueprint 200 in 20ms (compile: 3ms, render: 17ms)
 GET /sessions 200 in 19ms (compile: 3ms, render: 16ms)
 GET /grading 200 in 22ms (compile: 6ms, render: 16ms)
 GET /analytics 200 in 21ms (compile: 7ms, render: 14ms)
 GET /grading 200 in 20ms (compile: 2ms, render: 18ms)
 GET /blueprint 200 in 21ms (compile: 4ms, render: 17ms)
 GET /blueprint 200 in 20ms (compile: 3ms, render: 17ms)
 GET /items 200 in 21ms (compile: 3ms, render: 18ms)
 GET /blueprint 200 in 21ms (compile: 3ms, render: 18ms)
 GET /items 200 in 20ms (compile: 3ms, render: 17ms)
 GET /sessions 200 in 19ms (compile: 3ms, render: 16ms)
 GET /grading 200 in 21ms (compile: 4ms, render: 17ms)
 GET /analytics 200 in 21ms (compile: 3ms, render: 17ms)
 GET /blueprint 200 in 22ms (compile: 3ms, render: 18ms)
 GET /items 200 in 21ms (compile: 3ms, render: 18ms)
 GET /blueprint 200 in 16ms (compile: 4ms, render: 13ms)
 GET /sessions 200 in 19ms (compile: 3ms, render: 16ms)
 GET /sessions 200 in 21ms (compile: 3ms, render: 18ms)
 GET /grading 200 in 20ms (compile: 3ms, render: 17ms)
 GET /analytics 200 in 19ms (compile: 4ms, render: 15ms)
 GET /items 200 in 20ms (compile: 3ms, render: 17ms)
 GET /blueprint 200 in 19ms (compile: 3ms, render: 16ms)
 GET /items 200 in 23ms (compile: 4ms, render: 19ms)
 GET /blueprint 200 in 21ms (compile: 3ms, render: 18ms)
 GET /sessions 200 in 21ms (compile: 3ms, render: 18ms)
 GET /grading 200 in 16ms (compile: 3ms, render: 13ms)
 GET /analytics 200 in 20ms (compile: 3ms, render: 17ms)
 GET /items 200 in 16ms (compile: 3ms, render: 12ms)
 GET /sessions 200 in 21ms (compile: 4ms, render: 17ms)
 GET /grading 200 in 20ms (compile: 3ms, render: 17ms)
 GET /analytics 200 in 18ms (compile: 4ms, render: 15ms)
 GET /blueprint 200 in 22ms (compile: 4ms, render: 18ms)
 GET /sessions 200 in 17ms (compile: 4ms, render: 13ms)
 GET /grading 200 in 25ms (compile: 6ms, render: 19ms)
 GET /analytics 200 in 22ms (compile: 6ms, render: 16ms)
 GET /analytics/tests/c49e1dc5-c313-49a6-9677-16554e327df0 200 in 281ms (compile: 269ms, render: 11ms)
 GET /analytics 200 in 17ms (compile: 4ms, render: 13ms)
 GET /grading 200 in 21ms (compile: 4ms, render: 17ms)
 GET /grading/0a219d9b-058d-4b46-8655-c963fbab2af7 200 in 248ms (compile: 240ms, render: 8ms)
 GET /grading 200 in 6ms (compile: 767µs, render: 5ms)
 GET /items 200 in 17ms (compile: 3ms, render: 14ms)
 GET /blueprint 200 in 21ms (compile: 4ms, render: 17ms)
 GET /sessions 200 in 24ms (compile: 7ms, render: 17ms)
 GET /blueprint 200 in 20ms (compile: 3ms, render: 17ms)
 GET /items 200 in 21ms (compile: 3ms, render: 18ms)
 GET /blueprint 200 in 20ms (compile: 3ms, render: 17ms)
 GET /grading 200 in 24ms (compile: 7ms, render: 17ms)
 GET /analytics 200 in 11ms (compile: 1989µs, render: 9ms)
 GET /grading 200 in 20ms (compile: 4ms, render: 16ms)
 GET /sessions 200 in 24ms (compile: 3ms, render: 21ms)
 GET /blueprint 200 in 23ms (compile: 4ms, render: 20ms)
 GET /items 200 in 21ms (compile: 3ms, render: 18ms)
 GET /sessions 200 in 18ms (compile: 4ms, render: 14ms)
 GET /items 200 in 20ms (compile: 3ms, render: 17ms)
 GET / 200 in 21ms (compile: 4ms, render: 17ms)
 GET /analytics 200 in 20ms (compile: 4ms, render: 16ms)
 GET /items 200 in 19ms (compile: 2ms, render: 16ms)
✓ Compiled in 38ms
✓ Compiled in 25ms
✓ Compiled in 70ms
✓ Compiled in 54ms
✓ Compiled in 41ms
✓ Compiled in 33ms
